his_num_311_per_property,neighbor_his_num_per_property,snow_depth,percent_below_poverty,percent_civilian_unemployed,per_capita_income,percent_no_highschool,percent_65older,percent_17younger,percent_household_disability,percent_single_parent_household,percent_minority,percent_notwell_english,percent_singleunits,percent_multiunit,percent_mobile_homes,percent_owneroccupiedunit,percent_crowding,percent_group_quarters,median_year_properties_built,median_value_properties_built,percent_no_vehicle,lon,lat
-0.677020348,-0.101115484,0.225545844,-0.046529559,-0.057702469,-0.066987198,0.025618939,-0.034836219,-0.033805521,-0.128070517,-0.067814932,-1.101330461,-0.029889717,0.029918643,-0.001661008,-0.002991618,-0.204145739,-0.003384696,0.097426163,0.165397356,-0.197346218,0.12254961,0.102517521,-0.418139545
-2.416782013,0.014773512,0.232525692,-0.07729296,-0.065405087,-0.081812802,0.063683064,0.092765069,-0.024686643,0.15071667,-0.074480772,-1.15047844,0.006626233,0.010558397,0.017218857,-0.006066998,-0.201783263,-0.001906993,0.096866857,0.073156392,-0.293940576,0.037108087,-0.07250824,-0.167786742
-0.308717338,-0.104005368,0.382808472,-0.030304331,-0.030221884,0.019832285,0.021419978,-3.99E-05,-0.031219372,0.094675955,-0.056686349,-0.514014852,-0.030593663,0.051393844,-0.022033499,-0.00274774,-0.23953361,0.00394353,0.088719327,0.180337452,-0.149247009,0.068430601,0.050420739,-0.210768606
-0.832513736,-0.07024012,0.293570927,-0.022261124,-0.004061995,-0.032346744,0.047119179,-0.043858172,0.015087458,-0.157217554,0.108356308,-0.84550119,-0.029121413,0.010408679,0.028618813,-0.003068942,-0.172301582,-0.00537728,0.055557975,0.172657152,-0.205395931,0.082192045,0.121328588,-0.318514904
-1.422685365,-0.095716527,0.217584282,-0.011274586,0.071353699,0.028531545,-0.040674854,0.121414976,-0.017968872,-0.037306111,-0.023815937,-1.01972899,-0.02389695,0.03250513,-0.00113748,-0.005755836,0.076796379,-0.001559317,0.130942731,-0.029471036,-0.133925407,-0.019029723,0.09743137,-0.373155844
0.03961783,-0.0575771,0.519124021,0.082023073,-0.011927347,0.100357536,0.045996796,0.098767465,0.034482304,0.405132049,-0.02198464,-0.234523874,0.013231129,0.018245861,-0.007065139,-0.001589969,0.08405704,0.005912852,0.056021718,-0.068917288,-0.040873803,0.236866727,0.193376057,-0.161465853
-0.968323803,-0.109517567,0.192857226,-0.038478266,-0.037334135,-0.026915144,-0.074825224,-0.080790538,-0.085192229,0.012048171,-0.067737072,-1.214581483,-0.042389878,-0.087324114,0.031224979,-0.003538885,-0.266468617,-0.008310712,-0.26866922,-0.053376584,-0.250228027,0.071473472,0.044222776,-0.512910926
-0.659864007,-0.103819403,0.330022367,0.078740029,0.049618264,0.035048366,0.095215872,-0.069025721,-0.054308433,-0.176603581,-0.059387541,-0.449662422,-0.067874002,-0.034096013,-0.024238177,-0.002035966,-0.009264339,0.019704975,0.073645386,0.049069021,-0.132055521,-0.047467491,0.051149483,-0.152625988
-2.118694748,-0.06390117,0.218677095,-0.063075153,-0.078926503,-0.007796066,0.028007275,0.093680055,-0.047463942,0.0419171,-0.103967115,-1.160086299,-0.018453754,-0.010381539,0.020907481,-0.006861195,-0.223825032,-0.004188396,0.104292047,0.104280023,0.009998457,0.038149327,-0.007032574,-0.216278969
-0.297961231,0.031165948,0.505676054,-0.001304811,-0.014199283,0.048709763,0.061789666,0.07122946,-0.020492145,0.238495379,-0.067795971,-0.349783431,0.049648567,-0.012445586,0.07174486,-0.002113508,0.087052913,-0.002302644,0.039625319,0.112752112,-0.080772476,0.120232116,0.178964143,-0.049203185
-0.620407929,0.000774487,0.256124487,-0.040185886,-0.0480797,0.000920473,-0.060280595,0.051512293,-0.04402145,-0.175842142,0.084893463,-1.163712937,-0.050761804,0.024005715,-0.033299989,-0.002140775,-0.203305156,-0.001731245,0.07816775,0.130227018,-0.202207631,0.057993651,0.004931061,-0.144126383
0.518705689,0.024572597,0.492580599,0.032666969,0.007183295,0.088656237,0.0547923,0.079267237,0.080157662,0.32567339,0.102121499,-0.641823324,-0.047722736,-0.030036888,0.046100813,0.022385628,0.200967697,0.005327529,-0.086546893,-0.114969245,-0.023052825,-0.021218921,0.088086454,0.078654228
