,Geography,lon,lat,his_num_311_per_property,neighbor_his_num_per_property,snow_depth,percent_below_poverty,percent_civilian_unemployed,per_capita_income,percent_no_highschool,percent_65older,percent_17younger,percent_household_disability,percent_single_parent_household,percent_minority,percent_notwell_english,percent_singleunits,percent_multiunit,percent_mobile_homes,percent_owneroccupiedunit,percent_crowding,percent_group_quarters,median_year_properties_built,median_value_properties_built,percent_no_vehicle,311_index_per_property,distance
171,360290054002,1070690.93605,1072007.02348,62.05128205128205,42.44092940709592,87.00773864415582,0.143812709,0.023706897,29451,0.176197836,0.154960981,0.220735786,0.123752495,0.621212121,0.353400223,0.0,0.045537341,0.327868852,0.0,0.201596806,0.0,0.011148272,1924.0,204000.0,0.153692615,9.230769230769232,16836.902366633178
172,360290054003,1070087.76555,1070241.90887,34.0080971659919,48.80338451415543,87.55571318148249,0.011286682,0.109540636,62776,0.028614458,0.202031603,0.178329571,0.306306306,0.0,0.266365688,0.0,0.783783784,0.0,0.0,0.915915916,0.0,0.0,1920.0,289000.0,0.03003003,13.360323886639677,16155.375093874229
173,360290054004,1074849.14513,1072292.99307,33.45195729537366,41.08027567694212,91.28302950639772,0.277244987,0.0,72316,0.069736842,0.204010462,0.211857018,0.308910891,0.111888112,0.096774194,0.0,0.42883549,0.131238447,0.140480591,0.655445545,0.0,0.006974717,1920.0,250000.0,0.027722772,5.338078291814947,16162.273065489248
174,360290055001,1067802.44594,1072290.27995,60.0,50.50418720142107,81.4736567085225,0.227984344,0.116104869,21146,0.326953748,0.089041096,0.286692759,0.224770642,0.646616541,0.35518591,0.075132275,0.183070866,0.090551181,0.0,0.188073394,0.084862385,0.0,1900.0,77000.0,0.371559633,14.782608695652174,18065.10338805283
176,360290055003,1065027.11834,1070313.19849,37.16216216216216,50.04771292958904,77.05871764648252,0.488262911,0.064171123,16944,0.055900621,0.067605634,0.351173709,0.379781421,0.248663102,0.582159624,0.091365462,0.326446281,0.0,0.0,0.218579235,0.06284153,0.020657277,1900.0,56000.0,0.229508197,14.864864864864863,18570.451031894063
178,360290056001,1067808.90776,1077775.54734,34.14634146341464,32.295825771324864,76.42383162082183,0.301652893,0.027607362,27917,0.226666667,0.020661157,0.305785124,0.235127479,0.878378378,0.749311295,0.09256662,0.07082153,0.0,0.0,0.138810198,0.0,0.0,1930.0,67000.0,0.354107649,9.75609756097561,21588.67762128061
179,360290056002,1066923.8895,1076291.12164,26.31578947368421,40.753808944332064,75.64162116773562,0.088669951,0.095419847,27145,0.154661017,0.285714286,0.177339901,0.476190476,0.0,0.500821018,0.018062397,0.366300366,0.0,0.0,0.798534799,0.0,0.0,1961.0,96000.0,0.04029304,4.276315789473684,20890.6084046859
180,360290056003,1067379.49483,1073796.57694,42.32558139534884,46.72950334274629,79.02419420947086,0.431305537,0.023364486,13781,0.152690864,0.059466849,0.358851675,0.523049645,0.925925926,0.809979494,0.043062201,0.18336163,0.400679117,0.0,0.124113475,0.0,0.021189337,1920.0,84000.0,0.132978723,17.209302325581397,19095.429375467746
182,360290056005,1068095.36286,1074837.09204,36.30952380952381,34.32068543451653,80.54410553467856,0.20609319,0.034946237,30589,0.137019231,0.14516129,0.23297491,0.164556962,1.0,0.311827957,0.0,0.111111111,0.0,0.0,0.253164557,0.0,0.0,1924.0,85000.0,0.186708861,5.952380952380952,19430.91230006615
183,360290057001,1064283.93109,1075141.66472,70.70707070707071,40.315253509128,72.86600178390593,0.798722045,0.0,8725,0.248201439,0.039936102,0.47284345,0.391304348,1.0,0.931309904,0.308394161,0.106122449,0.359183673,0.0,0.113043478,0.104347826,0.0,1920.0,62000.0,0.817391304,16.161616161616163,21471.64032461187
